Name,Clusters
Aaron James Finch,4
Aavishkar Madhav Salvi,2
Abhimanyu Mithun,9
Abhinav Mukund,4
Abhishek Arunkumar Jhunjhunwala,4
Abhishek Mohan Nayar,2
Abhishek Santosh Raut,4
Abrar Anjum Kazi,4
Abu Nachim Ahmed,9
Adam Charles Voges,2
Adam Craig Gilchrist,4
Adam Fraser Milne,5
Adam John Hollioake,9
Adam Zampa,5
Aditya Pradeep Dole,4
Adrian Dimitri Mascarenhas,6
Aiden Craig Blizzard,4
Ajinkya Madhukar Rahane,4
Ajit Bhalchandra Agarkar,9
Ajit Chandila,2
Akashdeep Deependra Nath,4
Akshar Rajeshbhai Patel,5
Alfonso Clive Thomas,10
Ali Ghulam Murtaza,2
Amit Mishra,1
Amit Singh,2
Amit Uniyal,4
Ammana Ashish Reddy,9
Anand Rajan,9
Andre Dwayne Russell,1
Andre Nel,9
Andrew Barry McDonald,8
Andrew Flintoff,9
Andrew Symonds,9
Angelo Davis Mathews,8
Anil Kumble,5
Ankeet Anil Chavan,2
Ankit Nagendra Sharma,2
Ankitsingh Rajpoot,2
Asadullah Khan Pathan,4
Ashish Nehra,6
Ashley Allan Noffke,9
Ashok Bhimchandra Dinda,3
Ashok Lakshminarayan Menaria,2
Azhar Mahmood Sagar,10
Balachandra Akhil,2
Balapuwaduge Ajantha Winslo Mendis,6
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,5
Barinder Sran,2
Ben James Rohrer,4
Ben Laughlin,3
Ben Robert Dunk,4
Benjamin Colin James Cutting,9
Benjamin William Hilfenhaus,8
Beuran Eric Hendricks,5
Bharat Chipli,4
Bhargav Ashokbhai Bhatt,9
Bhuvneshwar Kumar Singh,3
Biplab Bipin Samantray,2
Bipul Sharma,5
Bodapati Apparao Sumanth,4
Bradley John Hodge,5
Brett Geeves,2
Brett Lee,3
Cameron Leon White,2
Carlos Ricardo Brathwaite,9
Chamara Kantha Kapugedera,4
Chandrasekharan Ganapathy,2
Charl Kenneth Langeveldt,6
Chetanya Nanda,2
Christopher Austin Lynn,4
Christopher Henry Gayle,8
Christopher Henry Morris,6
Christopher James Jordan,5
Clinton James McKay,3
Colin Alexander Ingram,2
Colin Munro,4
Congenige Randhi Dilhara Fernando,5
Corey James Anderson,2
Dale Willem Steyn,1
Daniel Joseph Harris,2
Daniel Luca Vettori,3
Daniel Trevor Christian,3
Darren Julius Garvey Sammy,6
Darren Scott Lehmann,4
David Andrew Miller,4
David Andrew Warner,4
David Johan Jacobs,4
David John Hussey,5
David Wiese,3
Deepak Hooda,4
Deepak Lokandersingh Chahar,4
Demuni Nuwan Tharanga Zoysa,2
Denagamage Proboth Mahela de Silva Jayawardene,4
Dharaka Bhanidipati Ravi Teja,4
Dhawal Sunil Kulkarni,3
Dillon du Preez,8
Dinesh Salunkhe,4
Dirk Peter Nannes,10
Doddapaneni Kalyankrishna,4
Dominic John Thornely,2
Domnic Joseph Muthuswami,2
Douglas Andrew John Bracewell,9
Douglas Erwin Bollinger,6
Dwayne John Bravo,7
Dwayne Romel Smith,8
Faiz Yakub Fazal,4
Farhaan Behardien,4
Fidel Henderson Edwards,8
Francois du Plessis,9
Gade Hanuma Vihari,2
Gagandeep Singh Toor,4
George Bradley Hogg,3
George John Bailey,4
Glenn Donald McGrath,2
Glenn James Maxwell,9
Graeme Craig Smith,4
Graham Richard Napier,6
Gurinder Singh Sandhu,2
Gurkeerat Singh Mann,4
Harbhajan Singh,1
Hardik Himanshu Pandya,9
Harmeet Singh Baddhan,4
Harmeet Singh Bansal,2
Harpreet Singh Bhatia,4
Harshal Vikrambhai Patel,5
Hashim Mahomed Amla,4
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,5
Irfan Khan Pathan,6
Ishan Malhotra,4
Ishank Rajiv Jaggi,4
Ishant Sharma,8
Ishwar Chand Pandey,9
Ishwar Haribhai Chaudhary,4
Jacob David Philip Oram,8
Jacques Henry Kallis,3
Jagadeesha Suchith,2
Jagrit Anand,4
Jalaj Sahay Saxena,2
Jamaluddin Syed Mohammad,9
James Douglas Sheehan Neesham,5
James Edward Charles Franklin,8
James Peter Faulkner,6
James Redfern Hopes,5
Jaskaran Singh Butta,4
Jason Omar Holder,9
Jasprit Jasbirsingh Bumrah,8
Jayant Yadav,2
Jaydev Dipakbhai Unadkat,8
Jean-Paul Duminy,5
Jerome Everton Taylor,8
Jesse Daniel Ryder,2
Joginder Sharma,5
Johan Botha,6
Johannes Albertus Morkel,10
Johannes Jacobus van der Wath,3
John Wayne Hastings,8
Juan Theron,6
Justin Miles Kemp,5
Kamran Khan,4
Kane Stuart Williamson,2
Kane William Richardson,5
Karan Goel,4
Karanveer Singh,2
Karn Vinod Sharma,5
Karun Kaladharan Nair,4
Kathuria Anureet Singh,9
Kedar Mahadeo Jadhav,4
Kemar Andre Jamal Roach,2
Kevin Peter Pietersen,2
Kevon Keston Cooper,6
Khan Abdur Razzak,8
Kieron Adrian Pollard,1
Konda Bhaskar Arun Karthik,4
Konganda Charamanna Cariappa,4
Kotragada Prabhu Appanna,2
Krishankumar Dinesh Karthik,4
Krishmar Santokie,6
Krishnakant Rameshwar Upadhyay,2
Krunal Himashu Pandya,2
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,3
Kuldeep Yadav,9
Kyle John Abbott,8
Lakshmipathy Balaji,3
Laxmi Ratan Shukla,9
Lee Andrew Carseldine,4
Lendl Mark Platter Simmons,2
Lindamlilage Prageeth Chamara Silva,4
Lovesh Ablash,9
Luke James Wright,8
Luteru Ross Poutoa Lote Taylor,4
Magina Thilan Thushara Mirando,5
Mahendra Singh Dhoni,4
Makhaya Ntini,5
Mandeep Singh,4
Manish Krishnanand Pandey,4
Manoj Kumar Tiwary,2
Manpreet Singh Gony,5
Marchant de Lange,9
Marcus Peter Stoinis,2
Marlon Nathaniel Samuels,5
Martin James Guptill,4
Mashrafe Bin Mortaza,8
Mayank Anurag Agarwal,4
Michael Edward Killeen Hussey,4
Michael Gertges Neser,2
Michael John Buchanan,4
Michael John Clarke,4
Michael John Lumb,4
Mitchell Aaron Starc,3
Mitchell Guy Johnson,8
Mitchell John McClenaghan,6
Mitchell Ross Marsh,9
Mithun Manhas,4
Mohamed Farveez Maharoof,8
Mohammad Ashraful,2
Mohammad Asif,9
Mohammad Hafeez,6
Mohammad Imran Tahir,6
Mohammad Mustafizur Rahman,5
Mohammad Younis Khan,4
Mohammed Shami,5
Mohit Sharma,8
Mohnish Bipinbhai Parmar,4
Moises Constantino Henriques,8
Morne Morkel,1
Munaf Musa Patel,8
Murali Kartik,3
Murali Vijay,4
Murugan Ashwin,2
Musavir Asmat Khote,4
Muttiah Muralitharan,1
Narangoda Liyanaarachchilage Tissara Chirantha Perera,6
Nathan John Rimmington,8
Nathan Leslie McCullum,6
Nathan Mitchell Coulter-Nile,8
Nayan Dilip Doshi,5
Niraj Kanubhai Patel,4
Nitish Rana,4
Owais Alam Shah,4
Padmanabhan Prasanth,5
Paidikalva David Vijaykumar,4
Palani Amarnath,2
Pankaj Singh,2
Pardeep Sahu,4
Parvez Rasool Zarghav,2
Parvinder Awana,8
Patangay Manikrao Sarvesh Kumar,4
Patrick James Cummins,5
Paul Chandrasekhar Valthaty,4
Paul David Collingwood,8
Pawan Negi,9
Pawan Suyal,4
Piyush Pramod Chawla,1
Pradeep Sangwan,5
Pragyan Prayish Ojha,6
Prasanth Parameswaran,2
Praveenkumar Sakat Singh,3
Pravin Vijay Tambe,5
Rahil Akhilahmed Shaikh,4
Rahul Artiprasad Shukla,2
Rahul Sharma,8
Rahul Tewatia,4
Raiphi Vincent Gomez,2
Rajagopal Sathish,2
Rajat Bhatia,3
Rajesh Kinyaram Bishnoi,4
Rajesh Vithal Pawar,4
Raju Ravi Bhatkal,2
Ramesh Rajaram Powar,4
Ramnaresh Ronnie Sarwan,4
Ramsawamy Shreyas Gopal,4
Ranadeb Ranjit Bose,4
Ranganath Vinay Kumar,6
Ravichandran Ashwin,1
Ravinder Singh Bopara,6
Ravindranath Rampaul,6
Ravindrasinh Anirudhsinh Jadeja,3
Raymond William Price,5
Reetinder Singh Sodhi,4
Ricky Thomas Ponting,4
Rishi Dhawan,9
Robert John Quiney,4
Robin John Peterson,3
Robin Venu Uthappa,4
Roelof Erasmus van der Merwe,6
Rohan Ravindra Raje,2
Rohan Sunil Gavaskar,4
Rohit Gurunath Sharma,2
Ronit Gajanan More,4
Rudra Pratap Singh,6
Rujul Haren Bhatt,4
Ryan James Harris,8
Ryan McLaren,6
Ryan Neil ten Doeschate,3
Ryan Ninan,4
Sachin Baby,4
Sachin Ramesh Tendulkar,4
Sachin Rana,2
Sahibzada Mohammad Shahid Khan Afridi,10
Salman Butt,4
Samuel Badree,6
Sanath Teran Jayasuriya,8
Sandeep Sharma,5
Sanjay Bapusaheb Bangar,2
Sanju Viswanath Samson,4
Sarabjit Singh Ladda,4
Saurabh Sushant Bandekar,9
Sayed Iqbal Abdulla,8
Scott Bernard Styris,3
Scott Michael Boland,2
Sean Anthony Abbott,9
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,8
Separamadu Lasith Malinga Swarnajith,7
Shadab Bashir Jakati,5
Shahbaz Nadeem,5
Shakib Al Hasan,10
Shalabh Jagdishprasad Srivastava,2
Shane Edward Bond,9
Shane Keith Warne,5
Shane Michael Harwood,9
Shane Robert Watson,6
Shanthakumaran Sreesanth,9
Shardul Narendra Thakur,2
Shaun Edward Marsh,4
Shaun Maclean Pollock,9
Shaun William Tait,1
Shikhar Dhawan,4
Shivam Sharma,4
Shivil Kaushik,4
Shoaib Akhtar,9
Shoaib Malik,3
Shoaib Shabbir Shaikh,4
Shrikant Bhaskar Wagh,9
Shrikant Shrihari Mundhe,2
Siddharth Dilip Chitnis,4
Siddharth Kaul,9
Siddharth Kishorkumar Trivedi,3
Simon Mathew Katich,4
Sohail Tanvir,10
Sourav Chandidas Ganguly,2
Sourav Subrata Sarkar,4
Sreenath Aravind,5
Sridharan Sriram,4
Steven Peter Devereux Smith,9
Stuart Terence Roger Binny,9
Subramaniam Badrinath,4
Sudeep Tyagi,2
Sumit Narwal,2
Sunil Bandacharya Joshi,4
Sunil Philip Narine,10
Sunny Suresh Gupta,4
Suresh Kumar Raina,9
Suryakumar Ashok Yadav,4
Swapnil Kamlesh Singh,2
Syed Mohammad Shoaib Ahmed,4
Tabraiz Shamsi,5
Taduri Prakashchandra Sudhindra,9
Tanmay Manoj Srivastava,4
Tanmay Mishra,4
Taruwar Kohli,4
Tatenda Taibu,4
Tillakaratne Mudiyanselage Dilshan,5
Timil Kaushik Patel,4
Timothy Grant Southee,6
Tirumalasetti Laxminarayana Suman,2
Travis Michael Head,4
Trent Alexander Boult,9
Tyron Henderson,8
Udit Alok Birla,4
Umar Gul,1
Umeshkumar Tilak Yadav,8
Varun Raymond Aaron,9
Veer Pratap Singh,4
Vidyut Sivaramakrishnan,4
Vijay Shankar,4
Vijaykumar Yo Mahesh,9
Vikram Rajvir Singh,2
Vikramjeet Malik,9
Vikrant Shyam Yeligati,4
Virat Kohli,4
Virender Sehwag,2
Visvajitsinh Dilipsinh Solanki,4
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,5
Wayne Dillon Parnell,6
Wilkin Arvind Mota,4
Yalaka Gnaneswara Rao,4
Yalaka Venugopal Rao,4
Yashpal Singh,4
Yogesh Nagar,2
Yusuf Adam Abdulla,5
Yusuf Khan Pathan,8
Yuvraj Singh,8
Yuzvendra Singh Chahal,8
Zaheer Khan,3
